Datetime,Asleep,Time Offset
2020-02-02 03:07:00,0,188
2020-02-02 03:08:00,0,189
2020-02-02 03:09:00,1,190
2020-02-02 03:10:00,1,191
2020-02-02 03:11:00,1,192
2020-02-02 03:12:00,1,193
2020-02-02 03:13:00,1,194
2020-02-02 03:14:00,1,195
2020-02-02 03:15:00,1,196
2020-02-02 03:16:00,1,197
2020-02-02 03:17:00,1,198
2020-02-02 03:18:00,1,199
2020-02-02 03:19:00,1,200
2020-02-02 03:20:00,1,201
2020-02-02 03:21:00,1,202
2020-02-02 03:22:00,1,203
2020-02-02 03:23:00,1,204
2020-02-02 03:24:00,1,205
2020-02-02 03:25:00,1,206
2020-02-02 03:26:00,1,207
2020-02-02 03:27:00,1,208
2020-02-02 03:28:00,1,209
2020-02-02 03:29:00,1,210
2020-02-02 03:30:00,1,211
2020-02-02 03:31:00,1,212
2020-02-02 03:32:00,1,213
2020-02-02 03:33:00,1,214
2020-02-02 03:34:00,1,215
2020-02-02 03:35:00,1,216
2020-02-02 03:36:00,1,217
2020-02-02 03:37:00,1,218
2020-02-02 03:38:00,1,219
2020-02-02 03:39:00,1,220
2020-02-02 03:40:00,1,221
2020-02-02 03:41:00,1,222
2020-02-02 03:42:00,1,223
2020-02-02 03:43:00,1,224
2020-02-02 03:44:00,1,225
2020-02-02 03:45:00,1,226
2020-02-02 03:46:00,1,227
2020-02-02 03:47:00,1,228
2020-02-02 03:48:00,1,229
2020-02-02 03:49:00,1,230
2020-02-02 03:50:00,1,231
2020-02-02 03:51:00,1,232
2020-02-02 03:52:00,1,233
2020-02-02 03:53:00,1,234
2020-02-02 03:54:00,1,235
2020-02-02 03:55:00,1,236
2020-02-02 03:56:00,1,237
2020-02-02 03:57:00,1,238
2020-02-02 03:58:00,1,239
2020-02-02 03:59:00,1,240
2020-02-03 00:00:00,0,1
2020-02-03 00:01:00,0,2
2020-02-03 00:02:00,0,3
2020-02-03 00:03:00,0,4
2020-02-03 00:04:00,0,5
2020-02-03 00:05:00,0,6
2020-02-03 00:06:00,0,7
2020-02-03 00:07:00,0,8
2020-02-03 00:08:00,0,9
2020-02-03 00:09:00,0,10
2020-02-03 00:10:00,0,11
2020-02-03 00:11:00,0,12
2020-02-03 00:12:00,0,13
2020-02-03 00:13:00,0,14
2020-02-03 00:14:00,0,15
2020-02-03 00:15:00,0,16
2020-02-03 00:16:00,0,17
2020-02-03 00:17:00,0,18
2020-02-03 00:18:00,0,19
2020-02-03 00:19:00,0,20
2020-02-03 00:20:00,0,21
2020-02-03 00:21:00,0,22
2020-02-03 00:22:00,0,23
2020-02-03 00:23:00,0,24
2020-02-03 00:24:00,0,25
2020-02-03 00:25:00,0,26
2020-02-03 00:26:00,0,27
2020-02-03 00:27:00,0,28
2020-02-03 00:28:00,0,29
2020-02-03 00:29:00,0,30
2020-02-03 00:30:00,0,31
2020-02-03 00:31:00,0,32
2020-02-03 00:32:00,0,33
2020-02-03 00:33:00,0,34
2020-02-03 00:34:00,0,35
2020-02-03 00:35:00,0,36
2020-02-03 00:36:00,0,37
2020-02-03 00:37:00,0,38
2020-02-03 00:38:00,0,39
2020-02-03 00:39:00,0,40
2020-02-03 00:40:00,0,41
2020-02-03 00:41:00,0,42
2020-02-03 00:42:00,0,43
2020-02-03 00:43:00,0,44
2020-02-03 00:44:00,0,45
2020-02-03 00:45:00,0,46
2020-02-03 00:46:00,0,47
2020-02-03 00:47:00,0,48
2020-02-03 00:48:00,0,49
2020-02-03 00:49:00,0,50
2020-02-03 00:50:00,0,51
2020-02-03 00:51:00,0,52
2020-02-03 00:52:00,0,53
2020-02-03 00:53:00,0,54
2020-02-03 00:54:00,0,55
2020-02-03 00:55:00,0,56
2020-02-03 00:56:00,0,57
2020-02-03 00:57:00,0,58
2020-02-03 00:58:00,0,59
2020-02-03 00:59:00,0,60
2020-02-03 01:00:00,0,61
2020-02-03 01:01:00,0,62
2020-02-03 01:02:00,0,63
2020-02-03 01:03:00,0,64
2020-02-03 01:04:00,0,65
2020-02-03 01:05:00,0,66
2020-02-03 01:06:00,0,67
2020-02-03 01:07:00,0,68
2020-02-03 01:08:00,0,69
2020-02-03 01:09:00,0,70
2020-02-03 01:10:00,0,71
2020-02-03 01:11:00,0,72
2020-02-03 01:12:00,0,73
2020-02-03 01:13:00,0,74
2020-02-03 01:14:00,0,75
2020-02-03 01:15:00,0,76
2020-02-03 01:16:00,0,77
2020-02-03 01:17:00,0,78
2020-02-03 01:18:00,0,79
2020-02-03 01:19:00,0,80
2020-02-03 01:20:00,0,81
2020-02-03 01:21:00,0,82
2020-02-03 01:22:00,0,83
2020-02-03 01:23:00,0,84
2020-02-03 01:24:00,0,85
2020-02-03 01:25:00,0,86
2020-02-03 01:26:00,0,87
2020-02-03 01:27:00,0,88
2020-02-03 01:28:00,0,89
2020-02-03 01:29:00,0,90
2020-02-03 01:30:00,0,91
2020-02-03 01:31:00,0,92
2020-02-03 01:32:00,0,93
2020-02-03 01:33:00,0,94
2020-02-03 01:34:00,0,95
2020-02-03 01:35:00,0,96
2020-02-03 01:36:00,0,97
2020-02-03 01:37:00,0,98
2020-02-03 01:38:00,0,99
2020-02-03 01:39:00,0,100
2020-02-03 01:40:00,0,101
2020-02-03 01:41:00,0,102
2020-02-03 01:42:00,0,103
2020-02-03 01:43:00,0,104
2020-02-03 01:44:00,0,105
2020-02-03 01:45:00,0,106
2020-02-03 01:46:00,0,107
2020-02-03 01:47:00,0,108
2020-02-03 01:48:00,0,109
2020-02-03 01:49:00,0,110
2020-02-03 01:50:00,0,111
2020-02-03 01:51:00,0,112
2020-02-03 01:52:00,0,113
2020-02-03 01:53:00,0,114
2020-02-03 01:54:00,0,115
2020-02-03 01:55:00,0,116
2020-02-03 01:56:00,0,117
2020-02-03 01:57:00,0,118
2020-02-03 01:58:00,0,119
2020-02-03 01:59:00,0,120
2020-02-03 02:00:00,0,121
2020-02-03 02:01:00,0,122
2020-02-03 02:02:00,0,123
2020-02-03 02:03:00,0,124
2020-02-03 02:04:00,0,125
2020-02-03 02:05:00,0,126
2020-02-03 02:06:00,0,127
2020-02-03 02:07:00,0,128
2020-02-03 02:08:00,0,129
2020-02-03 02:09:00,0,130
2020-02-03 02:10:00,0,131
2020-02-03 02:11:00,0,132
2020-02-03 02:12:00,0,133
2020-02-03 02:13:00,0,134
2020-02-03 02:14:00,0,135
2020-02-03 02:15:00,0,136
2020-02-03 02:16:00,0,137
2020-02-03 02:17:00,0,138
2020-02-03 02:18:00,0,139
2020-02-03 02:19:00,0,140
2020-02-03 02:20:00,0,141
2020-02-03 02:21:00,0,142
2020-02-03 02:22:00,0,143
2020-02-03 02:23:00,0,144
2020-02-03 02:24:00,0,145
2020-02-03 02:25:00,0,146
2020-02-03 02:26:00,0,147
2020-02-03 02:27:00,0,148
2020-02-03 02:28:00,0,149
2020-02-03 02:29:00,0,150
2020-02-03 02:30:00,0,151
2020-02-03 02:31:00,0,152
2020-02-03 02:32:00,0,153
2020-02-03 02:33:00,0,154
2020-02-03 02:34:00,0,155
2020-02-03 02:35:00,1,156
2020-02-03 02:36:00,1,157
2020-02-03 02:37:00,1,158
2020-02-03 02:38:00,1,159
2020-02-03 02:39:00,1,160
2020-02-03 02:40:00,1,161
2020-02-03 02:41:00,1,162
2020-02-03 02:42:00,1,163
2020-02-03 02:43:00,1,164
2020-02-03 02:44:00,1,165
2020-02-03 02:45:00,1,166
2020-02-03 02:46:00,1,167
2020-02-03 02:47:00,1,168
2020-02-03 02:48:00,1,169
2020-02-03 02:49:00,1,170
2020-02-03 02:50:00,1,171
2020-02-03 02:51:00,1,172
2020-02-03 02:52:00,1,173
2020-02-03 02:53:00,1,174
2020-02-03 02:54:00,1,175
2020-02-03 02:55:00,1,176
2020-02-03 02:56:00,1,177
2020-02-03 02:57:00,1,178
2020-02-03 02:58:00,1,179
2020-02-03 02:59:00,1,180
2020-02-03 03:00:00,1,181
2020-02-03 03:01:00,1,182
2020-02-03 03:02:00,1,183
2020-02-03 03:03:00,1,184
2020-02-03 03:04:00,1,185
2020-02-03 03:05:00,1,186
2020-02-03 03:06:00,1,187
2020-02-03 03:07:00,1,188
2020-02-03 03:08:00,1,189
2020-02-03 03:09:00,1,190
2020-02-03 03:10:00,1,191
2020-02-03 03:11:00,1,192
2020-02-03 03:12:00,1,193
2020-02-03 03:13:00,1,194
2020-02-03 03:14:00,1,195
2020-02-03 03:15:00,1,196
2020-02-03 03:16:00,1,197
2020-02-03 03:17:00,1,198
2020-02-03 03:18:00,1,199
2020-02-03 03:19:00,1,200
2020-02-03 03:20:00,1,201
2020-02-03 03:21:00,1,202
2020-02-03 03:22:00,1,203
2020-02-03 03:23:00,1,204
2020-02-03 03:24:00,1,205
2020-02-03 03:25:00,1,206
2020-02-03 03:26:00,1,207
2020-02-03 03:27:00,1,208
2020-02-03 03:28:00,1,209
2020-02-03 03:29:00,1,210
2020-02-03 03:30:00,1,211
2020-02-03 03:31:00,1,212
2020-02-03 03:32:00,1,213
2020-02-03 03:33:00,1,214
2020-02-03 03:34:00,1,215
2020-02-03 03:35:00,1,216
